_AnalysisTag,_FileName,_APK,_FileSize,_DexSize,_VersionCode,_MD5,SSLCertificateSocketFactoryCreateSocket,SSLCertificateSocketFactoryGetInsecure,NetworkSecurityConfig,PinSetExpiry,MissingBackupPin,InsecureBaseConfiguration,AcceptsUserCertificates,SetJavaScriptEnabled,UseCheckPermission,UnsafeDynamicallyLoadedCode,UnsafeNativeCodeLocation,UnsafeProtectedBroadcastReceiver,UnprotectedSMSBroadcastReceiver,AddJavascriptInterface,AuthLeak,SecureRandom,InvalidVectorPath,UsingC2DM,PackagedPrivateKey,PackageManagerGetSignatures,InvalidPermission,PrivateApi,AllowAllHostnameVerifier,TrustAllX509TrustManager,AllowBackup,ExportedPreferenceActivity,SignatureOrSystemPermissions,EllipsizeMaxLines,ExportedService,ExportedContentProvider,ExportedReceiver,GrantAllUris,SetWorldReadable,SetWorldWritable,WorldWriteableFiles,WorldReadableFiles,ExifInterface,HardcodedDebugMode,GetInstance,DeprecatedProvider,HardwareIds,DeletedProvider,GetLocales,BadHostnameVerifier
Banking_r2,b87c55a288dc753b27177a62e58bab2260fca752106d8feec0ca4d9aa1f7b1bd.apk,org.android.system,19232,8232,1,d65e9aae4dca9a2c04e699d068e5b77c,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Banking_r2,2ecdae58b04faaee65b8d12cb7fb1a9edf89d6e1506f084e5f806868cb62e9b7.apk,com.caf.fmradio,1124640,9544,1,03ef0dac1f97f15388bb873a417f6537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Banking_r2,f437c5202545302ef4526651b69016f5ea074294de19ff7dba2df1421b4b4cac.apk,tbtb101.rbrb101.view,38280,47828,1,0dc8fbee5c45ea858d42c0f56a331740,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
Banking_r2,4890b7395ae304d2b1a463d54fcf99fcef6c229c1e6baf0ee496c852f72718fd.apk,ssadsdf.eoeof.akalc,310537,596988,1,2a7c6d31ba7be64de94a008f02fbb0b1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banking_r2,0e821d40da4fca321c50988fd8b28ff9f0b51250c6a04f8455cf8e41402a3867.apk,com.xiaozhen00.xiaozhen11,215789,495432,2,45fa5cd6cfe3516954fe34a1d3e09354,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Banking_r2,b023343fa53b3df4c117994b5c8c96f6b12db5fc94b06c6427c33277b8167467.apk,com.ll,984386,261972,10,8c967143ae1bd9fc1de754c5bcdbc2ca,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Banking_r2,366e888821433c553757b0fbfe34735f56d2c0f70b8449cdeebde84739d27594.apk,com.google.game.store,556827,800904,1,4c0111e5dbd4f1cccb8795d6c53cb3d4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Banking_r2,aab02ed589b58eb8e17f5f9c74b6c094836351e30c230da8167b3dbb1faad49c.apk,com.mix.kr,240315,494860,2,a83139d1c238a98b8754475d33c4e635,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Banking_r2,ac1dbcd817fb57e303b389a086f0a2626e36d2934cce535090b80784334eb069.apk,com.sms.google,251724,500908,2,6c752847a4fe801f7d234c858c0636c5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Banking_r2,c2a184803fdf946bc4bb8fd60b4f96901cd59a23f3ba9031428712d9fa99662b.apk,com.android.Mzgrr,206081,24472,1,499e2d152601dd82af8016095ddacdd6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
