_AnalysisTag,_FileName,_APK,_FileSize,_DexSize,_VersionCode,_MD5,SSLCertificateSocketFactoryCreateSocket,SSLCertificateSocketFactoryGetInsecure,NetworkSecurityConfig,PinSetExpiry,MissingBackupPin,InsecureBaseConfiguration,AcceptsUserCertificates,SetJavaScriptEnabled,UseCheckPermission,UnsafeDynamicallyLoadedCode,UnsafeNativeCodeLocation,UnsafeProtectedBroadcastReceiver,UnprotectedSMSBroadcastReceiver,AddJavascriptInterface,AuthLeak,SecureRandom,InvalidVectorPath,UsingC2DM,PackagedPrivateKey,PackageManagerGetSignatures,InvalidPermission,PrivateApi,AllowAllHostnameVerifier,TrustAllX509TrustManager,AllowBackup,ExportedPreferenceActivity,SignatureOrSystemPermissions,EllipsizeMaxLines,ExportedService,ExportedContentProvider,ExportedReceiver,GrantAllUris,SetWorldReadable,SetWorldWritable,WorldWriteableFiles,WorldReadableFiles,ExifInterface,HardcodedDebugMode,GetInstance,DeprecatedProvider,HardwareIds,DeletedProvider,GetLocales,BadHostnameVerifier
Riskware_r3,2d700d40ff2c83e9a46064c7f4dea3a7.apk,edu.alkillj.elmscantoyota,478679,5268,1,2d700d40ff2c83e9a46064c7f4dea3a7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riskware_r3,ddeace16b9133fcd1c684a15c5537b5c.apk,com.example.smslister,45677,5160,1,ddeace16b9133fcd1c684a15c5537b5c,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Riskware_r3,e47ae606a2a398377034279040416b62.apk,com.ncz.tqhwpz,2002187,5992,2147483647,e47ae606a2a398377034279040416b62,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riskware_r3,2bd0a03c28583d01e03cd7076bfa2ed1.apk,com.avq.hliecx,6228927,5988,2,2bd0a03c28583d01e03cd7076bfa2ed1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Riskware_r3,7b8257d41f7eed0cfb634fd4f556855e.apk,com.rvw.tqcqaq,8822520,5888,1,7b8257d41f7eed0cfb634fd4f556855e,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Riskware_r3,4d9fc3a9809b5eef3268bf4eeec0e551.apk,com.ofb.vuzpqr,4240076,5884,1,4d9fc3a9809b5eef3268bf4eeec0e551,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Riskware_r3,a4b460a5d70a4af7b3f560f2bb81f34e.apk,com.ixm.uwbned,7960340,6012,1,a4b460a5d70a4af7b3f560f2bb81f34e,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Riskware_r3,7aa04888f4d5885969c709153f5a25ef.apk,com.qqe.gzlsng,4453410,5888,1,7aa04888f4d5885969c709153f5a25ef,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Riskware_r3,7e541afd0648a7d83e6414325b275805.apk,com.uzg.cgiglh,4240086,5884,1,7e541afd0648a7d83e6414325b275805,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Riskware_r3,4b64f428531faf25e9c89b9c4a34e6a1.apk,net.lybgezqbnz.griffinsimulator,1033100,5272,1,4b64f428531faf25e9c89b9c4a34e6a1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riskware_r3,2f3e6644564546374907d06095e138a0.apk,com.udk.sbauwi,8908925,5892,1,2f3e6644564546374907d06095e138a0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Riskware_r3,bfafe9c38e9d3bd57b931adb14b78cab.apk,com.opm.gdtveb,2504387,5884,2147483647,bfafe9c38e9d3bd57b931adb14b78cab,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Riskware_r3,6628ffd94bc068543bb7251a7d7d60b8.apk,com.aip.abiaxa,2040735,5996,2147483647,6628ffd94bc068543bb7251a7d7d60b8,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riskware_r3,0701473c338c9dc5ef8ec14540b26397.apk,com.rpz.smbter,7967925,6008,1,0701473c338c9dc5ef8ec14540b26397,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
